timestep,px,py,theta,px_ref,py_ref,theta_ref,error_px,error_py,error_theta,error_norm
356,0.9011714853793099,-0.3031445316199418,2.7238603466542815,-0.8126114042888336,0.7425132717958018,-3.7740972909844275,1.7137828896681435,-1.0456578034157435,0.21477233045912314,2.019054033128973
357,0.8921192223028469,-0.2991266361250496,2.718310032509655,-0.8308452135424925,0.7557605080570542,-3.765483453962021,1.7229644358453395,-1.0548871441821037,0.20060817929208952,2.0301815130050347
358,0.8830893991256743,-0.295058559871786,2.712759718365029,-0.8489959389671652,0.7687054501917557,-3.7565362096029347,1.7320853380928396,-1.0637640100635417,0.18611062078837737,2.0411640430678
359,0.8740822940196943,-0.2909404281809339,2.7072094042204027,-0.8670617655054355,0.78134292039565,-3.7472446391010963,1.7411440595251297,-1.072283348576584,0.17126873614191318,2.0520007786630856
360,0.8650981844569583,-0.2867723679152795,2.7016590900757764,-0.8850408865897049,0.7936678638491532,-3.737597390315576,1.750139071046663,-1.0804402317644328,0.15607117321176567,2.062691463483319
361,0.8561082533997799,-0.28254081304177964,2.6971326529704083,-0.9029315043228463,0.8056753507392133,-3.7275826754429846,1.7590397577226262,-1.0882161637809928,0.1415300212338071,2.073274230600848
362,0.8471375682397295,-0.27826860929903596,2.69260621586504,-0.9207318296579966,0.8173605782311729,-3.7171882712931965,1.767869397897726,-1.0956291875302089,0.12660917997865084,2.083697533003828
363,0.8381863127735681,-0.27395584421851304,2.688079778759672,-0.9384400825774543,0.8287188723898353,-3.706401522687816,1.7766263953510224,-1.1026747166083484,0.11129599426790193,2.093962673412625
364,0.8292546703999697,-0.2696026061627204,2.683553341654304,-0.9560544922706857,0.83974569004898,-3.695209349571193,1.7853091626706554,-1.1093482962117005,0.09557738404591021,2.1040716444467042
365,0.8203428241157631,-0.2652089843234021,2.6790269045489357,-0.9735732973113987,0.8504366206285644,-3.683598258500247,1.793916121427162,-1.1156456049519665,0.07943985586959634,2.114027165687682
366,0.8114294039339081,-0.26076432156091484,2.6754535941647917,-0.9909947458336898,0.8607873878989016,-3.671554359261403,1.802424149767598,-1.1215517094598164,0.06382264624660827,2.1238371836917262
367,0.8025319227835098,-0.25628783682522677,2.6718802837806477,-1.008317095707223,0.870793851691091,-3.6590633874499816,1.8108490184907327,-1.1270816885163177,0.0477583640510435,2.1334873240060452
368,0.7936504942723546,-0.2517795872744833,2.6683069733965037,-1.0255386147114476,0.8804520095530344,-3.6461107339380456,1.8191891089838022,-1.1322315968275176,0.031232400154962647,2.14298223649178
369,0.7847852318032599,-0.24723963047241987,2.6647336630123597,-1.042657580708813,0.8897579983503596,-3.6326814822493647,1.8274428125120727,-1.1369976288227794,0.01422983808213818,2.1523274214771555
370,0.7759362485726268,-0.2426680243876271,2.6611603526282157,-1.0596722818169868,0.8987080958116269,-3.6187604549521533,1.8356085303896137,-1.141376120199254,-0.003264499599216819,2.161529269188334
371,0.767088249537017,-0.23805679733611887,2.658476554543921,-1.0765810165800351,0.9072987220171839,-3.604332270268343,1.8436692661170522,-1.1453555193533027,-0.020376482367321813,2.1705692409069397
372,0.7582526579539194,-0.2334218406770544,2.655792756459626,-1.0933820941385743,0.9155264408310896,-3.589381410177755,1.8516347520924938,-1.148948281508144,-0.038011140542205446,2.179467424749099
373,0.7494295374640486,-0.22876318779495047,2.653108958375331,-1.1100738343988477,0.9233879612755189,-3.573892301361021,1.8595033718628962,-1.1521511490704694,-0.05618404744323424,2.188232553331795
374,0.7406189516182932,-0.22408087224500217,2.6504251602910363,-1.12665456820074,0.9308801388471135,-3.557849410369283,1.8672735198190331,-1.1549610110921158,-0.07491073651926694,2.1968743599500957
375,0.7318209638772575,-0.21937492775284137,2.6477413622067414,-1.1431226374846875,0.9379999767747388,-3.5412373544229276,1.874943601361945,-1.15737490452758,-0.0942065905499172,2.2054036046994585
376,0.7230252450768568,-0.21463979344197434,2.6458910155029516,-1.1594763954574863,0.9447446272181542,-3.524041029215434,1.882501640534343,-1.1593844206601285,-0.1132532624612006,2.2137775323961577
377,0.7142383029689323,-0.20988839211713828,2.6440406687991618,-1.1757142067569655,0.9511113924071088,-3.5062457550197275,1.8899525097258978,-1.1609997845242472,-0.13289888336069744,2.2220493023070143
378,0.7054601676380576,-0.2051207400460953,2.642190322095372,-1.1918344476155285,0.9570977257204172,-3.4878374422494516,1.8972946152535861,-1.1622184657665124,-0.15315754283476224,2.230232241755576
379,0.696690869138654,-0.20033685355224645,2.640339975391582,-1.2078355060225212,0.9627012327045702,-3.4688027774013355,1.9045263751611752,-1.1630380862568166,-0.17404255438666816,2.238340705635744
380,0.6879304374948874,-0.195536749014576,2.6384896286877924,-1.2237157818854385,0.9679196720314864,-3.449129429981149,1.9116462193803259,-1.1634564210460625,-0.1955662485106444,2.246390052796026
381,0.6791726377819711,-0.1907169950419685,2.637424301681932,-1.2394736871899266,0.9727509563950139,-3.4288062805789195,1.9186463249718977,-1.1634679514369823,-0.21695472491873424,2.25431380846006
382,0.6704199776518599,-0.185887913885601,2.636358974676072,-1.2551076461585875,0.9771931533458231,-3.4078236696940065,1.9255276238104475,-1.163081067231424,-0.23900266280950788,2.2621972663406993
