timestep,v,omega,controller,solve_time_ms
257,-0.03720404371297681,-2.850000000000703,MPC,310.92030000218074
258,-0.03597622438667202,-2.8500000000006973,MPC,326.40100000207894
259,-0.03469234205999861,-2.8500000000006915,MPC,306.0557000026165
260,-0.033345735036921974,-2.850000000000686,MPC,277.47090000048047
261,-0.03191603197493083,-2.85000000000068,MPC,133.30100000166567
262,-0.03037346117668458,-2.850000000000674,MPC,223.4563000019989
263,-0.028912982823914052,-2.8500000000006676,MPC,134.57460000063293
264,-0.02756473256982322,-2.8500000000006613,MPC,267.3154000003706
265,-0.02582608920234544,-2.8500000000006556,MPC,248.7970000001951
266,-0.023682209780764286,-2.8500000000006493,MPC,268.48470000186353
267,-0.021255974096435152,-2.8500000000006422,MPC,340.66470000107074
268,-0.018909387102600275,-2.850000000000636,MPC,349.5451000017056
269,-0.01569759729207059,-2.8500000000006294,MPC,455.1442000010866
270,-0.005020189058237468,-2.8500000000006196,MPC,335.9411999990698
271,0.017401574848671594,-2.850000000000613,MPC,333.1266000022879
272,0.04399495157292149,-2.8500000000006067,MPC,315.9754000007524
273,0.07757323261893127,-2.8500000000006,MPC,258.89980000283686
274,0.12200835576903443,-2.8500000000005934,MPC,236.503600001015
275,0.18292200706974981,-2.8500000000005863,MPC,261.9295000004058
276,0.2686918236235948,-2.850000000000579,MPC,284.63170000031823
277,0.3982880166528663,-2.850000000000573,MPC,251.1690000028466
278,0.5906111250801895,-2.8500000000005654,MPC,235.43939999944996
279,0.8449240221852417,-2.8500000000005556,MPC,223.72840000025462
280,1.2350400102004737,-2.8500000000005463,MPC,256.51809999908437
281,1.8007930915185155,-2.8500000000005365,MPC,309.3336999991152
282,1.9000000002615454,-2.8500000000006223,MPC,215.86590000151773
283,1.9000000005946671,-2.84999999989627,MPC,247.29240000306163
284,1.9000000001338655,-2.8499999996516254,MPC,201.27470000079484
285,1.9000000004366964,-2.849999999806692,MPC,234.5229999991716
286,1.900000001221177,-2.849999999944417,MPC,174.59560000133933
287,1.90000001224097,-2.850000000066132,MPC,104.86010000022361
288,1.9000000212256505,-2.850000000109512,MPC,306.3349999974889
289,1.900000017946373,-2.850000000109003,MPC,104.8112000025867
290,1.9000000223006346,-2.85000000014103,MPC,103.14559999824269
291,1.900000065873204,-2.8500000008723,MPC,102.26750000219909
292,1.9000000736594418,-2.8500000011816162,MPC,96.0040999998455
293,1.9000001481852167,-2.8500000038328417,MPC,90.05539999998291
294,1.900000088948075,-2.850000003907204,MPC,91.89689999766415
295,1.9000001455359408,-2.850000008418602,MPC,89.7928000013053
296,1.9000001299317804,-2.8500000090547064,MPC,71.78630000271369
297,1.900000109996367,-2.850000009333499,MPC,102.56130000198027
298,1.900000087994951,-2.850000009173309,MPC,146.20909999939613
299,1.9000000309403404,-2.8500000033197987,MPC,224.51770000043325
300,1.9000000211599246,-2.850000002984811,MPC,211.94459999969695
301,1.900000012839956,-2.8500000025289114,MPC,227.05990000031306
302,1.900000006402916,-2.8500000019784135,MPC,236.21669999920414
303,1.900000000323518,-2.8500000003762613,MPC,293.03430000072694
304,1.8999999996208514,-2.8500000002360824,MPC,287.8810000001977
305,1.899999999642044,-2.8500000000895924,MPC,304.34539999987464
306,1.9000000000331283,-2.8499999999980865,MPC,310.95970000023954
307,1.9000000000001491,-2.8500000000003385,MPC,432.17299999741954
308,1.9000000000000041,-2.8500000000003567,MPC,211.5631000015128
309,1.9000000000000041,-2.8500000000003496,MPC,269.2666000002646
310,1.9000000000000044,-2.850000000000342,MPC,288.6285999993561
311,1.9000000000000046,-2.8500000000003345,MPC,243.71400000018184
312,1.9000000000000048,-2.8500000000003274,MPC,233.13120000238996
313,1.900000000000005,-2.85000000000032,MPC,194.42460000209394
314,1.9000000000000052,-2.8500000000003123,MPC,307.211900002585
315,1.9000000000000055,-2.8500000000003047,MPC,259.3739000003552
316,1.9000000000000055,-2.850000000000297,MPC,201.4699000028486
317,1.9000000000000057,-2.85000000000029,MPC,303.7858000025153
318,1.900000000000006,-2.8500000000002825,MPC,177.00960000001942
319,1.9000000000000061,-2.850000000000275,MPC,273.8174000005529
320,1.9000000000000064,-2.8500000000002674,MPC,282.7469000003475
321,1.9000000000000064,-2.85000000000026,MPC,216.78630000315025
322,1.9000000000000066,-2.8500000000002523,MPC,233.81139999764855
323,1.9000000000000068,-2.850000000000245,MPC,219.38990000126068
324,1.900000000000007,-2.8500000000002372,MPC,189.1092000005301
325,1.900000000000007,-2.8500000000002297,MPC,153.29079999719397
326,1.9000000000000072,-2.850000000000222,MPC,206.43080000081682
327,1.9000000000000072,-2.8500000000002146,MPC,87.80800000022282
328,1.9000000000000075,-2.850000000000207,MPC,81.48649999930058
329,1.9000000000000077,-2.8500000000001995,MPC,79.59879999907571
330,1.9000000000000077,-2.850000000000192,MPC,80.3446999998414
331,1.900000000000008,-2.8500000000001844,MPC,91.51679999922635
332,1.900000000000008,-2.850000000000177,MPC,99.67649999816786
333,1.900000000000008,-2.850000000000169,MPC,100.09130000253208
334,1.9000000000000081,-2.8500000000001613,MPC,89.15740000156802
335,1.9000000000000081,-2.8500000000001537,MPC,82.05749999979162
336,1.9000000000000081,-2.8500000000001458,MPC,101.64450000229408
337,1.9000000000000083,-2.850000000000138,MPC,83.80069999839179
338,1.9000000000000083,-2.85000000000013,MPC,176.7044000007445
339,1.9000000000000083,-2.8500000000001227,MPC,276.00909999819123
340,1.9000000000000083,-2.8500000000001147,MPC,298.50490000171703
341,1.9000000000000083,-2.8500000000001067,MPC,388.07770000130404
342,1.9000000000000086,-2.850000000000099,MPC,423.2037000001583
343,1.9000000000000086,-2.850000000000091,MPC,452.5796999987506
344,1.9000000000000086,-2.850000000000083,MPC,344.0184000028239
345,1.9000000000000086,-2.850000000000075,MPC,450.8507999998983
346,1.9000000000000086,-2.850000000000066,MPC,238.57069999939995
347,1.9000000000000086,-2.8500000000000583,MPC,343.26440000222647
348,1.9000000000000083,-2.8500000000008714,MPC,248.06180000086897
349,1.9000000000000083,-2.850000000000863,MPC,257.56470000123954
350,1.9000000000000083,-2.8500000000008545,MPC,243.40569999912987
351,1.9000000000000083,-2.850000000000846,MPC,225.13420000177575
