x,y,z
-1.051550675182539152e+01,3.339481286784617708e+01,1.260000000000000009e-01
-1.020381854686415579e+01,3.340421451923205609e+01,1.260000000000000009e-01
-9.892384673089123837e+00,3.341033019505460544e+01,1.260000000000000009e-01
-9.581280908179660827e+00,3.341317533986427435e+01,1.260000000000000009e-01
-9.270583029815140819e+00,3.341276539821154756e+01,1.260000000000000009e-01
-8.960366815674925434e+00,3.340911581464688851e+01,1.260000000000000009e-01
-8.650708043438397610e+00,3.340224203372078193e+01,1.260000000000000009e-01
-8.341682490784911863e+00,3.339215949998367705e+01,1.260000000000000009e-01
-8.033365935393849355e+00,3.337888365798606571e+01,1.260000000000000009e-01
-7.725834154944575261e+00,3.336242995227840424e+01,1.260000000000000009e-01
-7.419162927116454753e+00,3.334281382741117028e+01,1.260000000000000009e-01
-7.113428029588863666e+00,3.332005072793483436e+01,1.260000000000000009e-01
-6.808705240041168949e+00,3.329415609839986701e+01,1.260000000000000009e-01
-6.505070336152741106e+00,3.326514538335674587e+01,1.260000000000000009e-01
-6.202599095602936430e+00,3.323303402735593437e+01,1.260000000000000009e-01
-5.901367296071148516e+00,3.319783747494791015e+01,1.260000000000000009e-01
-5.601450715236734545e+00,3.315957117068313664e+01,1.260000000000000009e-01
-5.302925130779065910e+00,3.311825055911208437e+01,1.260000000000000009e-01
-5.005866320377508671e+00,3.307389108478523099e+01,1.260000000000000009e-01
-4.710350061711435998e+00,3.302650819225304701e+01,1.260000000000000009e-01
-4.416452132460216617e+00,3.297611732606601009e+01,1.260000000000000009e-01
-4.124248310303216591e+00,3.292273393077456944e+01,1.260000000000000009e-01
-3.833814372919810864e+00,3.286637345092922402e+01,1.260000000000000009e-01
-3.545221292804212609e+00,3.280704764783339300e+01,1.260000000000000009e-01
-3.258498629317471806e+00,3.274473653899819681e+01,1.260000000000000009e-01
-2.973654790920278845e+00,3.267940392944999672e+01,1.260000000000000009e-01
-2.690698016354144517e+00,3.261101349412286510e+01,1.260000000000000009e-01
-2.409636544360576504e+00,3.253952890795086716e+01,1.260000000000000009e-01
-2.130478613681089151e+00,3.246491384586804685e+01,1.260000000000000009e-01
-1.853232463057193025e+00,3.238713198280849781e+01,1.260000000000000009e-01
-1.577906331230397585e+00,3.230614699370624976e+01,1.260000000000000009e-01
-1.304508456942216510e+00,3.222192255349538215e+01,1.260000000000000009e-01
-1.033047078934158147e+00,3.213442233710994600e+01,1.260000000000000009e-01
-7.635304359477338432e-01,3.204361001948402077e+01,1.260000000000000009e-01
-4.959667667244558875e-01,3.194944927555165037e+01,1.260000000000000009e-01
-2.303643100058336279e-01,3.185190378024690716e+01,1.260000000000000009e-01
3.326869546662056254e-02,3.175093720850385637e+01,1.260000000000000009e-01
2.949240109513969199e-01,3.164651323525655613e+01,1.260000000000000009e-01
5.545933977069824605e-01,3.153859553543905392e+01,1.260000000000000009e-01
8.122686169918688082e-01,3.142714778398543984e+01,1.260000000000000009e-01
1.067941430064542896e+00,3.131213365582975783e+01,1.260000000000000009e-01
1.321603598183493933e+00,3.119351682590606600e+01,1.260000000000000009e-01
1.573246882607212793e+00,3.107126096914843671e+01,1.260000000000000009e-01
1.822863044594186466e+00,3.094532976049093875e+01,1.260000000000000009e-01
2.070443845402905936e+00,3.081568687486761959e+01,1.260000000000000009e-01
2.315981046291857304e+00,3.068229598721254447e+01,1.260000000000000009e-01
2.559466408519531999e+00,3.054512077245977864e+01,1.260000000000000009e-01
2.800891693344419675e+00,3.040412490554339087e+01,1.260000000000000009e-01
3.040248662025005988e+00,3.025927206139743220e+01,1.260000000000000009e-01
3.277529075819782367e+00,3.011052591495596076e+01,1.260000000000000009e-01
3.512724695987238022e+00,2.995785014115305600e+01,1.260000000000000009e-01
3.745827283785862605e+00,2.980120841492277961e+01,1.260000000000000009e-01
3.976828600474141329e+00,2.964056441119917196e+01,1.260000000000000009e-01
4.205720407310567843e+00,2.947588180491631604e+01,1.260000000000000009e-01
4.432494465553628693e+00,2.930712427100826289e+01,1.260000000000000009e-01
4.657142536461813975e+00,2.913425548440907775e+01,1.260000000000000009e-01
4.879656381293610679e+00,2.895723912005282585e+01,1.260000000000000009e-01
5.100027761307509344e+00,2.877603885287356178e+01,1.260000000000000009e-01
5.318248437761999625e+00,2.859061835780535432e+01,1.260000000000000009e-01
5.534310171915569398e+00,2.840094130978226161e+01,1.260000000000000009e-01
5.748204725026708317e+00,2.820697138373835244e+01,1.260000000000000009e-01
5.959923858353904258e+00,2.800867225460768495e+01,1.260000000000000009e-01
6.169459333155648650e+00,2.780600759732432437e+01,1.260000000000000009e-01
6.376802910690428483e+00,2.759894108682232172e+01,1.260000000000000009e-01
6.581946352216731633e+00,2.738743639803574936e+01,1.260000000000000009e-01
6.784881418993059299e+00,2.717145720589866542e+01,1.260000000000000009e-01
6.985599872277878930e+00,2.695096718534513514e+01,1.260000000000000009e-01
7.184093473329693502e+00,2.672593001130922374e+01,1.260000000000000009e-01
