,t,dist_err,head_err,v_l,v_r,x,y,pitch_deg,v_act,gL,gR,t_rel
439,1777515106.262657,2.1660097,-9.5385685,0.7927469,0.7088908,-23.33921717867754,29.45951810933241,0.0,0.7441698101220636,1.0200256,0.9796576,89.42471408843994
440,1777515106.4646618,2.0113065,-9.253571,0.7895301,0.71114844,-23.229777850948093,29.555710619766835,0.0,0.7494295441149582,1.0207872,0.9794368,89.62671899795532
441,1777515106.6635303,1.8623444,-7.619898,0.7739358,0.7235549,-23.113452530251397,29.65153124461135,0.0,0.7544697580903602,1.0214423,0.97914654,89.82558751106262
442,1777515106.8630426,1.7170142,-6.0052023,0.7594031,0.7357331,-22.993005636188382,29.742825126599183,0.0,0.7568553784041522,1.0216683,0.97898024,90.0250997543335
443,1777515107.0640192,1.5645083,-5.3937845,0.7544043,0.7402118,-22.87249443374846,29.82899165115639,0.0,0.7375276758257646,1.0215055,0.97903633,90.22607636451721
444,1777515107.2634418,1.4145454,-4.6894846,0.70139766,0.6941325,-22.74802828478938,29.914529433596712,0.0,0.7558704452581196,1.0212708,0.97912633,90.42549896240234
445,1777515107.4643805,1.2731307,-3.8584192,0.6218427,0.6183526,-22.622405532619716,29.997032375639275,0.0,0.7517814319519911,1.0206846,0.97944516,90.62643766403198
446,1777515107.6631622,1.1196566,-3.8615499,0.5500415,0.5320823,-22.50049444955921,30.07434142479989,0.0,0.7018189640982012,1.019631,0.98021114,90.82521939277649
447,1777515107.8629205,0.98048794,-3.743875,0.489664,0.45593992,-22.383586386049668,30.14701557279103,0.0,0.6515622069612251,1.018373,0.9812098,91.024977684021
448,1777515108.062956,0.8609757,-3.6159172,0.44166005,0.39087692,-22.277021999303013,30.211802232993307,0.0,0.5879511901703284,1.0169886,0.98240983,91.225013256073
449,1777515108.2597544,0.7435652,-3.0078053,0.44166005,0.39087692,-22.18393782126919,30.266657760586277,0.0,0.5107819984700384,1.0156273,0.9837171,91.42181158065796
450,1777515108.4891038,3.6962392,-4.058264,0.75137305,0.74499714,-22.088836739084996,30.31960262981271,0.0,0.45560207709161094,1.0147424,0.9847283,91.65116095542908
451,1777515108.664434,3.614307,-3.2280972,0.74403244,0.75154674,-22.02454904862171,30.353720745547808,0.0,0.4248228979283739,1.0151383,0.9842774,91.82649111747742
452,1777515108.8641047,3.5220945,-2.9284189,0.7414112,0.75394666,-21.945031140617235,30.39385296086284,0.0,0.4818471574481574,1.0152828,0.9840844,92.0261619091034
453,1777515109.0632918,3.4150317,-1.9564813,0.7330533,0.7614732,-21.84611358627343,30.443795562989685,0.0,0.6071973765912007,1.0154402,0.9839196,92.22534894943237
454,1777515109.2640865,3.289151,-0.7630402,0.7228847,0.77068746,-21.723645427399067,30.50233906167237,0.0,0.7195411604854776,1.0154685,0.98391104,92.42614364624023
455,1777515109.4632955,3.1367445,-1.0769287,0.7258003,0.76801056,-21.590461538826233,30.56413121036067,0.0,0.7364754579244963,1.0151945,0.9842568,92.62535262107849
456,1777515109.6631105,2.9864247,-1.3729371,0.7284948,0.765552,-21.454372221909374,30.628913933774342,0.0,0.7556462159087124,1.0150113,0.98449963,92.82516765594482
457,1777515109.8634012,2.845353,-2.4940374,0.7382594,0.7567706,-21.31980764848651,30.694731963562063,0.0,0.7440788369821898,1.0148025,0.9847403,93.02545833587646
458,1777515110.0641582,2.6891358,-5.6868024,0.76586694,0.7324929,-21.189459193529995,30.764652683155823,0.0,0.7408087790933673,1.0145746,0.9850631,93.22621536254883
459,1777515110.2631457,2.540437,-10.057588,0.80446714,0.7000932,-21.062260763713546,30.844062210184795,0.0,0.7448689713216318,1.0146719,0.985138,93.4252028465271
460,1777515110.4630232,2.402226,-14.399753,0.8444079,0.6679443,-20.94075919657038,30.932303214321642,0.0,0.7450200640006764,1.0153067,0.98488986,93.62508034706116
461,1777515110.6627114,2.2520728,-19.538,0.8943212,0.62967473,-20.826964219562342,31.027561914412516,0.0,0.7479756679939409,1.0163047,0.98460954,93.82476854324341
462,1777515110.8631964,2.1115959,-23.438576,0.9332221,0.60074484,-20.71624773024738,31.130796460632514,0.0,0.749633340176314,1.017927,0.9841661,94.02525353431702
463,1777515111.0636556,1.9810119,-25.257982,0.9498123,0.587053,-20.606109883204656,31.236795012303908,0.0,0.7672534486853467,1.0199633,0.98364425,94.22571277618408
464,1777515111.2632189,1.8364992,-26.032766,0.95471895,0.5806909,-20.495400492815655,31.34035725115284,0.0,0.7774461929723342,1.0218878,0.9832087,94.42527604103088
465,1777515111.4639614,1.697161,-25.14277,0.94253695,0.58656836,-20.3772896919088,31.44159932160793,0.0,0.7943195298444128,1.0235083,0.9828202,94.62601852416992
466,1777515111.6639965,1.564157,-22.829147,0.9177487,0.6027836,-20.253499029693938,31.532113651938047,0.0,0.7414558031885313,1.0245609,0.9825135,94.82605361938477
467,1777515111.864409,1.416204,-22.226759,0.8630399,0.5581307,-20.126376465747878,31.614722659070907,0.0,0.7719523721497158,1.0245551,0.98265946,95.02646613121033
468,1777515112.0637863,1.2740046,-21.532198,0.7801002,0.48417708,-19.993905006532792,31.691011760995853,0.0,0.7542680836558479,1.0238397,0.9832593,95.22584342956543
469,1777515112.2639554,1.1414951,-19.500132,0.6970751,0.42931148,-19.859841626646936,31.756458737682156,0.0,0.7139494659013923,1.0225158,0.98429495,95.42601251602173
470,1777515112.4599297,1.0011022,-17.342276,0.61532974,0.37668595,-19.731587311314154,31.80652527247721,0.0,0.6521772089175301,1.0205789,0.98576,95.62198686599731
471,1777515112.6606421,0.8775444,-14.8318615,0.53673196,0.3378362,-19.61040191397958,31.84327340053696,0.0,0.5965455262375156,1.0182693,0.9874588,95.82269930839539
472,1777515112.8592415,0.7718969,-11.783521,0.46583313,0.3022601,-19.499776085613142,31.866523500177312,0.0,0.530932142907471,1.015766,0.98922485,96.02129864692688
473,1777515113.060741,0.6669253,-8.778116,0.46583313,0.3022601,-19.402468559103546,31.878732491435223,0.0,0.46449292675374076,1.0138229,0.990542,96.22279810905457
474,1777515113.2852314,3.6444602,10.575683,0.6404585,0.8546198,-19.302841951780078,31.884796667172825,0.0,0.4170576726405751,1.0126146,0.99147826,96.4472885131836
475,1777515113.4603333,3.57055,13.941189,0.6120019,0.87419903,-19.235677178815727,31.8852354249738,0.0,0.39040302013638467,1.0107824,0.9920137,96.62239050865173
476,1777515113.6598763,3.48709,14.734336,0.60433525,0.87752616,-19.152252757629206,31.88305178615008,0.0,0.4732840724934055,1.0095896,0.99203724,96.82193350791931
477,1777515113.8598032,3.3877497,13.27453,0.62298226,0.8716693,-19.045299616619893,31.88338565706179,0.0,0.5991023901830184,1.0082967,0.992575,97.02186036109924
478,1777515114.0598607,3.270385,13.854247,0.61844283,0.8755043,-18.913674264360957,31.885346754433414,0.0,0.6808068490648769,1.0074005,0.9928603,97.22191786766052
479,1777515114.260342,3.1228812,12.212785,0.6273235,0.8660155,-18.768753644314824,31.89041648721056,0.0,0.7361450534321003,1.0066013,0.9932963,97.42239904403687
480,1777515114.4593825,2.975634,9.4573,0.6490416,0.8321507,-18.619071701533148,31.90441528857758,0.0,0.7488590312740896,1.0059121,0.9938178,97.62143969535828
481,1777515114.660563,2.8290818,8.315418,0.66154337,0.8077669,-18.46986141440667,31.924651602238583,0.0,0.7515368713448192,1.0059621,0.99341506,97.82262015342712
482,1777515114.864249,2.6810386,8.659899,0.65730387,0.81109756,-18.32431376069298,31.94565171735176,0.0,0.7315869323277031,1.0072125,0.99150926,98.02630615234375
483,1777515115.062791,2.5350757,11.226593,0.63107556,0.8510408,-18.177129425478196,31.963174387821883,0.0,0.7286306880621426,1.0084196,0.9896632,98.22484827041626
484,1777515115.2599623,2.3984697,11.662738,0.62842345,0.8515674,-18.029742583581793,31.978653609246017,0.0,0.7353190881020153,1.0077688,0.9902752,98.42201948165894
485,1777515115.4591646,2.246382,10.649204,0.6404487,0.8261791,-17.88493912673671,31.998067468407946,0.0,0.740821904568814,1.0073831,0.9906156,98.62122178077698
486,1777515115.6643913,2.0994503,9.781825,0.6421697,0.8203072,-17.737906942257023,32.022411247699196,0.0,0.7515210717868431,1.0082034,0.98930573,98.82644844055176
487,1777515115.8587418,1.9617765,8.620038,0.64763194,0.8200963,-17.592212230730105,32.050546725283574,0.0,0.727139519019029,1.0080677,0.9894435,99.02079892158508
488,1777515116.0605664,1.8096288,8.625152,0.64742804,0.8210593,-17.4500639090327,32.080707524381324,0.0,0.7276179816722007,1.0084441,0.9895898,99.22262358665466
489,1777515116.2605956,1.6635864,10.410996,0.6320711,0.83264226,-17.305322024990513,32.109682612588735,0.0,0.7406729466073686,1.0086339,0.98980725,99.42265272140503
490,1777515116.463864,1.5273347,11.879731,0.62022054,0.8420882,-17.159923892652504,32.13768308106798,0.0,0.7373893918969676,1.0090857,0.98954624,99.62592124938965
491,1777515116.6637514,1.3771492,13.525459,0.5442725,0.78504723,-17.018027414236375,32.16387293547141,0.0,0.7120625122795601,1.0095252,0.9891068,99.82580852508545
492,1777515116.8632767,1.235589,15.608175,0.4599698,0.7231663,-16.873567069908127,32.18915236396565,0.0,0.7214935814346316,1.0096601,0.9887107,100.02533388137817
493,1777515117.059615,1.1037002,14.901445,0.39862424,0.6548533,-16.734495963679628,32.21735834238641,0.0,0.6796118858099971,1.0091786,0.98882866,100.22167205810547
494,1777515117.2595294,0.9707798,15.7964735,0.33232528,0.5931147,-16.607988623699697,32.24726607395855,0.0,0.6312976717937381,1.0085957,0.98946774,100.42158651351929
495,1777515117.4594555,0.8543178,16.924223,0.27429712,0.5381755,-16.492857680438927,32.27638606614032,0.0,0.5587273684049499,1.0078506,0.9901821,100.62151265144348
496,1777515117.6589308,0.7583415,17.659096,0.23084357,0.48659644,-16.39179093615113,32.30426616226507,0.0,0.48822842856943827,1.0070822,0.9908304,100.8209879398346
497,1777515117.8590872,0.66400486,17.873026,0.23084357,0.48659644,-16.30489189361839,32.331403600920645,0.0,0.4298287176077385,1.0063738,0.99137866,101.0211443901062
498,1777515118.090062,3.6486702,-6.562965,0.78517836,0.7209944,-16.215192309775453,32.36400773189414,0.0,0.3781317766574866,1.0057514,0.99208224,101.25211906433105
499,1777515118.26206,3.578015,-10.170789,0.81589943,0.6920867,-16.158497963291783,32.38798067477902,0.0,0.3704989193744891,1.0064442,0.99198586,101.42411708831787
500,1777515118.460609,3.4981616,-13.853357,0.84773165,0.6633809,-16.087384385177998,32.422966067650414,0.0,0.4317193926111565,1.0074356,0.9915993,101.62266612052917
501,1777515118.6603396,3.4039614,-18.169138,0.8861832,0.6312831,-15.998295712831126,32.47384684908642,0.0,0.5638008291704649,1.0086281,0.9910766,101.8223967552185
502,1777515118.8622777,3.2920718,-22.708693,0.928277,0.5980164,-15.889504137435889,32.546538022521744,0.0,0.6976202347205317,1.0101693,0.99040097,102.02433490753174
503,1777515119.0636318,3.152532,-25.32724,0.95202297,0.5785958,-15.771592785752224,32.634382743830855,0.0,0.770850123708968,1.0123539,0.98947936,102.22568893432617
504,1777515119.2640293,3.0145366,-25.829899,0.9546012,0.57473934,-15.64798077694899,32.72470711149948,0.0,0.7740405470504875,1.0146345,0.9885498,102.42608642578125
505,1777515119.463716,2.8830643,-26.181223,0.9561134,0.5717046,-15.522272889476492,32.8144488000623,0.0,0.808962153260424,1.0163467,0.98788923,102.62577319145203
506,1777515119.6633615,2.7401972,-24.649904,0.9394456,0.582288,-15.395981716289079,32.8967032786533,0.0,0.7751432894033697,1.0179071,0.98727995,102.82541871070862
507,1777515119.8641908,2.5987628,-22.455471,0.91794467,0.5978719,-15.261917925312746,32.97335577392608,0.0,0.774410205913429,1.0187672,0.98695165,103.02624797821045
508,1777515120.0633268,2.4637253,-20.174446,0.8972687,0.6153614,-15.12401133264677,33.04100631883701,0.0,0.7614286619123648,1.0188305,0.9870095,103.2253839969635
509,1777515120.2636912,2.3126009,-18.180197,0.880246,0.6317828,-14.985126412038726,33.09946536346727,0.0,0.7665366150607744,1.0183039,0.9874412,103.42574834823608
510,1777515120.45938,2.1674545,-16.071674,0.8627713,0.6483828,-14.84209547194724,33.15062606497376,0.0,0.7616901242631969,1.0174037,0.98811597,103.6214370727539
511,1777515120.6595552,2.0294704,-14.492122,0.8487906,0.65626407,-14.696390425993638,33.19419440846568,0.0,0.7659753277161342,1.0161005,0.98905903,103.82161235809326
512,1777515120.8590903,1.874662,-11.451665,0.813255,0.6645537,-14.550405794562453,33.22861037317234,0.0,0.7582499138600479,1.0147927,0.9900251,104.02114748954773
513,1777515121.0589855,1.7247074,-7.8867116,0.78956515,0.6936382,-14.400384916536213,33.25205794164551,0.0,0.7527267342121189,1.0140834,0.99054587,104.22104263305664
514,1777515121.2593563,1.583802,-5.7142777,0.76768035,0.7340578,-14.250350299321822,33.26621570286397,0.0,0.7453139616924822,1.0135659,0.99027336,104.42141342163086
515,1777515121.461067,1.4284378,-4.6104336,0.72635275,0.7012635,-14.101739253359582,33.27510446848513,0.0,0.7450587199095173,1.0117488,0.99144477,104.62312412261963
516,1777515121.6593618,1.27904,-2.9766014,0.63896006,0.6254526,-13.95440154708114,33.27947109157914,0.0,0.7299484081170787,1.0101733,0.99242675,104.82141900062561
517,1777515121.8603578,1.1403193,-3.1326838,0.57219756,0.54886174,-13.807344533989648,33.28198565851097,0.0,0.7101112426938171,1.0085269,0.99352485,105.02241492271423
518,1777515122.0592246,0.993321,-3.3186793,0.5059979,0.47043556,-13.670389913758708,33.283992235309135,0.0,0.6563849912207468,1.0072522,0.99440813,105.22128176689148
519,1777515122.2599435,0.8651889,-3.4783578,0.45183873,0.4040066,-13.544091509740054,33.284845480264174,0.0,0.5855815696844808,1.0062282,0.99510354,105.42200064659119
520,1777515122.459449,0.758055,-3.2873306,0.4029273,0.35523254,-13.432394542250945,33.28449696205298,0.0,0.5213773943792442,1.0053988,0.99565035,105.62150621414185
521,1777515122.6597373,0.65352494,-2.7502906,0.4029273,0.35523254,-13.336068370909237,33.28281843435024,0.0,0.4411073884513786,1.0046424,0.9961977,105.8217945098877
522,1777515122.8594694,3.6834555,4.510033,0.6912477,0.7881054,-13.250123398737134,33.27976122160517,0.0,0.4117274025804699,1.0041685,0.99665684,106.0215265750885
523,1777515123.0597987,3.6085637,5.493097,0.6830975,0.7948691,-13.170961176555718,33.275528206670785,0.0,0.4061498359793014,1.0032494,0.997275,106.22185587882996
524,1777515123.259803,3.5226455,5.748261,0.6814691,0.79669094,-13.087614153849543,33.270313975831755,0.0,0.4770379109032374,1.0025936,0.99768806,106.4218602180481
525,1777515123.4599712,3.4206824,5.2527485,0.6862253,0.79213274,-12.980899764289681,33.26454302140378,0.0,0.5896355186497336,1.0020597,0.9980731,106.62202835083008
526,1777515123.6597016,3.300134,5.3226643,0.68613356,0.79247594,-12.84839004986398,33.25849957672196,0.0,0.6843854413773549,1.0015768,0.9985096,106.82175874710083
527,1777515123.8600516,3.1499114,6.134885,0.6792235,0.7985019,-12.704878277776206,33.25060979393216,0.0,0.7357902048219174,1.0012869,0.9988005,107.02210879325867
528,1777515124.0596406,3.0019903,7.0312514,0.6719821,0.80618536,-12.55405104165414,33.24107992403217,0.0,0.7405413849644688,1.0011529,0.998889,107.22169780731201
